player_id,playedgames,playedmins,perfdef,perfattack,perfposs,total
130,6,540,37.0,72.0,60,170.0
157,8,593,62.0,61.0,45,168.0
27,6,528,31.0,131.0,2,163.0
115,8,642,51.0,6.0,83,139.0
33,6,329,6.0,136.0,-13,129.0
179,5,400,10.0,64.0,55,129.0
176,8,560,35.0,26.0,67,128.0
321,8,720,60.0,128.0,-61,127.0
47,4,360,75.0,11.0,35,121.0
328,8,720,-2.0,128.0,-7,119.0
333,6,462,71.0,1.0,45,117.0
156,9,645,-20.0,155.0,-21,114.0
26,6,537,-3.0,133.0,-24,106.0
160,9,677,43.0,15.0,46,104.0
311,7,507,130.0,-3.0,-30,98.0
146,3,270,57.0,0.0,40,97.0
334,5,450,39.0,7.0,49,95.0
135,6,540,32.0,57.0,2,91.0
323,6,481,-67.0,160.0,-1,91.0
108,10,882,-45.0,203.0,-67,91.0
331,5,351,17.0,75.0,-4,88.0
322,6,540,73.0,11.0,5,88.0
305,5,297,-15.0,82.0,15,82.0
197,6,540,96.0,15.0,-33,79.0
317,6,457,5.0,108.0,-36,78.0
332,8,629,-1.0,45.0,32,76.0
144,6,540,49.0,30.0,-3,76.0
73,5,410,16.0,125.0,-72,69.0
126,9,810,26.0,7.0,31,64.0
178,5,347,-47.0,34.0,74,61.0
56,5,450,36.0,17.0,-1,52.0
43,4,332,-24.0,59.0,18,52.0
339,6,248,27.0,3.0,21,51.0
335,5,358,43.0,-1.0,7,49.0
40,5,450,8.0,10.0,23,41.0
53,3,270,49.0,0.0,-7,41.0
199,5,268,22.0,57.0,-40,40.0
304,6,529,-38.0,59.0,19,39.0
303,7,552,-5.0,30.0,14,39.0
71,4,315,43.0,0.0,-4,39.0
308,5,308,29.0,17.0,-14,32.0
150,4,192,-2.0,42.0,-16,25.0
8,6,527,-28.0,76.0,-27,21.0
74,6,540,36.0,0.0,-16,20.0
309,4,221,-13.0,28.0,3,18.0
139,6,191,-18.0,19.0,14,15.0
105,1,90,23.0,0.0,-16,8.0
159,2,180,-10.0,3.0,14,7.0
306,2,180,-3.0,-3.0,9,4.0
49,6,461,5.0,63.0,-64,3.0
350,2,35,5.0,4.0,-6,3.0
147,2,108,-18.0,3.0,16,1.0
338,4,328,-21.0,15.0,5,-1.0
86,6,540,15.0,0.0,-26,-10.0
336,5,292,-49.0,17.0,7,-24.0
91,4,200,0.0,10.0,-36,-26.0
58,1,15,-25.0,0.0,-4,-28.0
89,5,365,-58.0,86.0,-56,-28.0
66,5,432,22.0,23.0,-73,-29.0
341,6,540,-64.0,1.0,27,-36.0
340,6,388,-29.0,18.0,-26,-37.0
327,10,721,-85.0,112.0,-85,-58.0
37,6,536,-102.0,56.0,-42,-88.0
136,8,690,-103.0,7.0,-58,-153.0
31,10,900,24.0,277.0,31,332.0
75,11,990,184.0,18.0,52,254.0
32,8,720,14.0,218.0,21,253.0
39,7,613,70.0,145.0,8,223.0
30,8,720,77.0,82.0,51,210.0
52,7,544,23.0,101.0,66,191.0
59,9,578,-6.0,208.0,-18,184.0
55,10,720,-18.0,277.0,-79,180.0
35,6,370,42.0,135.0,-6,172.0
72,6,540,142.0,11.0,16,169.0
48,6,540,34.0,54.0,69,157.0
90,6,481,-1.0,125.0,8,133.0
