player_id,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
228,27,2501,1,1,6,1,0.2,78.0,0.5,0,6.5
229,8,796,0,0,2,0,0.8,71.5,1.9,0,6.27
230,12,1080,7,2,1,0,3.9,83.4,0.3,4,7.82
231,13,1093,1,1,4,1,1.4,77.7,2.8,1,6.79
232,4,419,0,1,1,0,1.1,78.6,0.8,0,6.46
233,4,341,1,0,1,0,0.7,81.6,0.1,0,6.43
234,22,1969,21,6,2,0,3.8,82.8,0.4,4,7.81
235,36,3085,8,16,2,0,2.5,83.4,0.4,8,7.8
236,34,2922,32,10,1,0,4,76.7,0.4,8,7.69
237,28,2433,12,4,2,0,2.1,83.6,0.2,9,7.69
238,35,3083,30,2,5,0,5,71.2,1.6,9,7.6
239,28,2437,9,11,5,0,1.9,88.9,0.6,4,7.58
240,29,2593,18,11,3,1,2.6,84.0,0.2,4,7.55
241,25,2151,6,10,5,1,2.8,85.3,1.9,4,7.48
242,37,3226,10,10,0,0,2.6,82.4,0.5,4,7.4
243,32,2778,15,7,1,0,2.3,72.6,1.2,3,7.39
244,33,2869,16,7,4,0,2.5,68.4,3.2,2,7.29
245,28,2207,10,7,3,1,2.4,80.4,0.9,1,7.27
246,36,3205,0,0,4,0,0.7,86.3,3.3,3,7.26
247,34,2998,1,1,3,0,0.7,89.3,0.5,1,7.25
248,23,1975,0,0,2,0,0.1,91.2,2.5,2,7.21
249,35,3119,1,1,6,0,0.5,87.7,1.6,0,7.2
250,37,3330,2,6,1,0,0.4,86.7,2.2,1,7.18
251,21,1746,1,2,2,0,0.5,93.0,1,1,7.16
252,33,2899,0,3,6,2,1.2,76.1,3.5,2,7.14
253,33,2968,4,0,9,0,0.9,91.9,2.3,5,7.13
254,28,2448,2,4,7,0,0.6,79.5,0.6,4,7.12
255,34,2972,9,10,7,0,1.9,77.2,0.8,1,7.09
256,21,1875,2,3,1,0,1.3,82.4,1.3,1,7.08
257,38,3420,2,4,7,0,0.8,78.4,3.1,1,7.08
258,32,2787,0,6,2,1,0.4,87.8,2.2,0,7.05
259,19,1673,13,3,6,0,1.9,79.7,0.7,1,7.05
260,23,2049,5,6,4,0,1.6,87.6,0.1,2,7.04
261,21,1914,0,5,1,0,0.3,81.4,1.5,0,7.04
262,35,3082,10,1,8,0,1.2,80.2,1.4,1,7.01
263,24,2125,2,1,4,0,0.5,88.5,3.6,2,6.99
264,38,3387,2,0,4,0,0.4,73.2,2.7,3,6.98
265,37,3258,20,1,3,0,1.9,60.5,2.1,0,6.98
266,32,2827,0,2,4,0,0.9,86.3,2.4,0,6.96
267,25,2173,1,1,1,0,0.6,84.4,1,0,6.95
268,29,2535,0,0,1,1,0.3,89.4,2.4,0,6.94
269,34,3114,0,0,3,0,0,39.0,0.3,0,6.93
270,25,2336,2,1,4,0,0.6,89.5,2.2,1,6.92
271,25,2119,3,3,3,0,1.3,76.6,1,1,6.9
272,21,1886,0,0,6,0,0.4,92.2,0.3,0,6.9
273,38,3420,0,0,0,0,0,53.4,0.4,3,6.89
274,36,3049,8,7,5,0,1.9,79.5,0.1,2,6.87
275,24,2084,0,0,1,1,0.4,89.0,3.4,0,6.87
276,34,3071,4,3,5,0,0.8,79.5,0.9,0,6.86
277,23,2051,2,0,2,1,0.8,84.2,2.8,0,6.86
278,20,1823,8,5,2,0,1.7,87.8,0.2,1,6.82
279,32,2803,2,3,5,0,0.7,76.0,3.7,2,6.8
280,23,2071,0,0,0,0,0.4,93.4,2.1,0,6.8
281,15,1520,6,4,0,0,0.7,87.0,0.1,1,6.79
282,34,2813,6,3,4,0,1.1,74.8,0.2,2,6.78
283,35,3150,0,0,0,0,0,46.1,0.2,2,6.76
284,30,2602,6,2,6,0,1.7,57.3,4.1,2,6.76
285,17,1810,7,5,3,0,1.7,78.3,0.5,1,6.76
286,36,3240,0,0,1,0,0,75.2,0.3,1,6.74
287,38,3420,0,0,0,0,0,48.0,0.3,1,6.74
288,15,1510,4,1,3,0,1.2,91.7,0.1,0,6.73
289,37,3197,0,0,1,0,0,85.3,0.3,1,6.68
290,38,3420,0,0,0,0,0,44.5,0.5,0,6.63
291,35,3150,0,0,2,0,0,70.4,0.1,0,6.63
292,23,1989,5,3,2,0,1.6,78.4,0.5,0,6.62
293,20,1643,0,2,2,0,0.6,78.4,1,0,6.62
294,16,1537,1,2,2,0,0.9,76.6,0.5,1,6.62
295,33,2966,0,0,3,0,0,49.6,0.4,3,6.61
296,17,1330,6,2,2,0,1,73.3,1.1,1,6.58
297,32,2797,0,3,3,0,0.7,73.3,1,0,6.57
298,38,3420,0,1,1,0,0,56.4,0.4,1,6.57
299,19,1710,0,0,3,0,0,69.5,0.2,0,6.49
300,7,827,3,3,2,0,1.4,79.3,0.3,0,6.48
301,12,1234,2,0,2,0,0.5,77.0,0.5,0,6.46
302,36,3154,0,1,7,0,0.5,73.5,1.3,0,6.32
303,26,2271,2,4,3,0,0.7,80.3,1,3,7.59
304,26,2335,3,4,7,0,1.3,84.7,2.2,1,7.5
305,17,1543,3,4,4,1,1.4,82.2,0.2,3,7.22
306,24,2151,3,0,4,0,0.4,85.2,1.9,0,6.95
307,18,1620,4,1,5,0,2,77.0,0.7,0,6.78
308,6,970,6,6,3,0,1.5,68.7,1.5,1,6.59
309,9,832,4,2,1,0,1.5,72.5,0.5,0,6.54
310,26,2407,1,0,4,0,0.5,81.2,2.2,0,7.02
311,25,2174,5,1,7,3,0.5,83.0,2.5,2,6.94
312,31,2675,0,0,8,0,0.1,77.9,1,1,6.86
313,31,2788,5,2,7,0,0.6,77.2,0.3,1,6.77
314,17,1305,2,1,5,0,0.5,82.3,0.6,0,6.7
315,33,2970,0,0,6,0,0,68.0,0.6,1,6.67
316,5,450,3,0,0,0,0.8,95.5,2,1,7.87
317,5,457,4,0,2,0,2.5,67.1,2.8,2,7.37
318,12,1080,1,3,1,0,1.3,80.3,1.5,0,7.32
319,8,720,1,1,2,0,1.6,85.9,0.1,2,7.25
320,9,831,5,1,1,0,2.4,78.5,0.5,2,7.24
321,8,720,3,1,1,0,1,68.8,0.9,1,7.23
322,6,540,0,1,2,0,0.2,81.1,2.5,1,7.2
323,5,481,2,3,3,0,2.8,69.6,0.3,2,7.2
324,10,922,0,1,2,0,0.5,85.5,2.9,0,7.07
325,4,294,0,1,0,0,0.5,81.3,1.3,0,7.0
326,5,450,0,0,0,0,0,90.3,1.2,0,6.98
327,8,719,0,1,1,0,0.6,80.0,0.2,0,6.94
328,8,720,1,0,2,0,2.1,84.8,0.4,0,6.94
329,12,1080,0,0,0,0,0,80.4,0.3,0,6.86
330,8,661,1,0,0,1,4.1,87.7,0.1,0,6.86
331,4,353,2,0,0,0,1,83.9,0.4,0,6.81
332,8,633,0,3,0,0,0.6,86.7,1,0,6.73
333,6,463,0,0,0,0,0.3,86.1,1.8,1,6.72
334,5,450,0,0,0,0,0,91.4,1.4,0,6.65
335,5,363,0,0,1,0,0.2,84.4,1.2,0,6.55
336,3,291,0,0,3,0,0.8,91.0,0.8,0,6.51
337,5,494,1,0,0,0,0.4,87.9,0.9,0,6.48
338,4,330,0,0,0,0,0,85.9,0,0,6.43
339,2,234,0,0,0,0,0,89.1,1,0,6.41
340,4,389,0,1,1,0,2,65.8,4,0,6.34
341,6,540,0,0,1,0,0.5,89.6,0.8,0,6.1
342,37,3316,11,9,4,0,3.1,75.4,1.8,5,7.35
343,23,2155,6,10,2,0,2.3,82.1,0,4,7.21
344,21,1924,4,9,9,0,1.5,87.9,0.7,3,7.2
345,36,3185,4,1,6,0,0.9,87.2,0.6,3,7.17
346,27,2355,2,1,8,1,1.2,83.2,0.9,1,7.12
347,20,1868,1,3,5,1,0.7,74.4,0.2,1,6.92
348,31,2729,0,0,8,0,0.3,87.6,1.9,0,6.89
349,16,1201,5,2,3,0,0.7,81.7,1,1,6.89
350,24,2088,2,4,8,1,0.3,87.8,0.7,1,6.88
351,25,2137,3,2,7,1,1.4,88.3,1.1,0,6.83
352,18,1407,1,1,5,0,0.5,82.3,0.9,0,6.77
353,32,2810,3,3,2,0,1,72.0,0.6,0,6.77
354,21,2133,3,2,8,0,0.9,81.0,0.4,0,6.71
355,27,2499,0,0,5,0,0.1,81.4,2.1,0,6.7
356,25,2260,0,0,0,0,0,51.8,0.2,1,6.69
357,28,2484,0,1,5,0,0.2,81.1,0.8,1,6.69
358,22,1858,0,0,4,2,0,80.6,2.4,0,6.63
359,6,811,5,1,0,0,1,75.4,1.4,0,6.51
360,8,761,0,0,5,0,0.1,88.5,0.6,0,6.39
361,20,1637,2,0,2,0,0.8,67.6,0.8,0,6.35
